WIID,DATETIME,STATUS
72690565,8/25/2021 10:46,Succses
,,
72690623,8/25/2021 10:46,Succses
,,
72690551,8/25/2021 10:46,Succses
,,
72690510,8/25/2021 10:46,Succses
,,
72690640,8/25/2021 10:46,Succses
,,
72690632,8/25/2021 10:46,Succses
,,
72690635,8/25/2021 10:46,Succses
,,
72690620,8/25/2021 10:46,Succses
,,
72690644,8/25/2021 10:46,Succses
,,
72690530,8/25/2021 10:46,Succses
,,
72690646,8/25/2021 10:47,Succses
,,
72690514,8/25/2021 10:47,Succses
,,
72690548,8/25/2021 10:47,Succses
,,
72690611,8/25/2021 10:47,Succses
,,
72690523,8/25/2021 10:47,Succses
,,
72690575,8/25/2021 10:47,Succses
,,
72690536,8/25/2021 10:47,Succses
,,
72690534,8/25/2021 10:47,Succses
,,
72690606,8/25/2021 10:47,Succses
,,
72690596,8/25/2021 10:47,Succses
,,
72690574,8/25/2021 10:47,Succses
,,
72690538,8/25/2021 10:47,Succses
,,
72690532,8/25/2021 10:48,Succses
,,
72690648,8/25/2021 10:48,Succses
,,
72690535,8/25/2021 10:48,Succses
,,
72690517,8/25/2021 10:48,Succses
,,
72690520,8/25/2021 10:48,Succses
,,
72690577,8/25/2021 10:48,Succses
,,
72690527,8/25/2021 10:48,Succses
,,
72690590,8/25/2021 10:48,Succses
,,
72690518,8/25/2021 10:48,Succses
,,
72690558,8/25/2021 10:48,Succses
,,
72690634,8/25/2021 10:48,Succses
,,
72690627,8/25/2021 10:49,Succses
,,
72690610,8/25/2021 10:49,Succses
,,
72690592,8/25/2021 10:49,Succses
,,
72690630,8/25/2021 10:49,Succses
,,
72690525,8/25/2021 10:49,Succses
,,
72690602,8/25/2021 10:49,Succses
,,
72690582,8/25/2021 10:49,Succses
,,
72690626,8/25/2021 10:49,Succses
,,
72690562,8/25/2021 10:49,Succses
,,
72690624,8/25/2021 10:49,Succses
,,
72690516,8/25/2021 10:49,Succses
,,
72690549,8/25/2021 10:49,Succses
,,
72690544,8/25/2021 10:50,Succses
,,
72690587,8/25/2021 10:50,Succses
,,
72690622,8/25/2021 10:50,Succses
,,
72690513,8/25/2021 10:50,Succses
,,
72690585,8/25/2021 10:50,Succses
,,
72690526,8/25/2021 10:50,Succses
,,
72690563,8/25/2021 10:50,Succses
,,
72690511,8/25/2021 10:50,Succses
,,
72690647,8/25/2021 10:50,Succses
,,
72690628,8/25/2021 10:50,Succses
,,
72690560,8/25/2021 10:51,Succses
,,
72690638,8/25/2021 10:51,Succses
,,
72690616,8/25/2021 10:51,Succses
,,
72690595,8/25/2021 10:51,Succses
,,
72690618,8/25/2021 10:51,Succses
,,
72690529,8/25/2021 10:51,Succses
,,
72690566,8/25/2021 10:51,Succses
,,
72690649,8/25/2021 10:51,Succses
,,
72690584,8/25/2021 10:51,Succses
,,
72690636,8/25/2021 10:51,Succses
,,
72690607,8/25/2021 10:52,Succses
,,
72690591,8/25/2021 10:52,Succses
,,
72690528,8/25/2021 10:52,Succses
,,
72690512,8/25/2021 10:52,Succses
,,
72690619,8/25/2021 10:52,Succses
,,
72690515,8/25/2021 10:52,Succses
,,
72690599,8/25/2021 10:52,Succses
,,
72690542,8/25/2021 10:52,Succses
,,
72690643,8/25/2021 10:52,Succses
,,
72690553,8/25/2021 10:52,Succses
,,
72690567,8/25/2021 10:52,Succses
,,
72690568,8/25/2021 10:52,Succses
,,
72690509,8/25/2021 10:53,Succses
,,
72690612,8/25/2021 10:53,Succses
,,
72690554,8/25/2021 10:53,Succses
,,
72690537,8/25/2021 10:53,Succses
,,
72690576,8/25/2021 10:53,Succses
,,
72690594,8/25/2021 10:53,Succses
,,
72690642,8/25/2021 10:53,Succses
,,
72690543,8/25/2021 10:53,Succses
,,
72690605,8/25/2021 10:53,Succses
,,
72690572,8/25/2021 10:53,Succses
,,
72690522,8/25/2021 10:53,Succses
,,
72690581,8/25/2021 10:53,Succses
,,
72690604,8/25/2021 10:54,Succses
,,
72690609,8/25/2021 10:54,Succses
,,
72690555,8/25/2021 10:54,Succses
,,
72690559,8/25/2021 10:54,Succses
,,
72690603,8/25/2021 10:54,Succses
,,
72690578,8/25/2021 10:54,Succses
,,
72690593,8/25/2021 10:54,Succses
,,
72690539,8/25/2021 10:54,Succses
,,
72690617,8/25/2021 10:54,Succses
,,
72690561,8/25/2021 10:54,Succses
,,
72690586,8/25/2021 10:54,Succses
