HeadPhone names,Price,Rating
"boAt Airdopes Atom 81 TWS Earbuds with Upto 50H Playtime, Quad Mics ENx™ Tech, 13MM Drivers,Super Low Latency(50ms), ASAP™ Charge, BT v5.3(Opal Black)","1,099",3.5 out of 5 stars
"boAt Rockerz 255 Pro+ Bluetooth Neckband with Upto 60 Hours Playback, ASAP Charge, IPX7, Dual Pairing and Bluetooth v5.2(Active Black)","1,299",4.1 out of 5 stars
"boAt Immortal 121 TWS Earbuds with Beast™ Mode(40ms Low Latency) for Gaming, 40H Playtime, Blazing LEDs, Quad Mics ENx Signature Sound, ASAP™ Charge(10 Mins= 180 Mins)(Black Sabre)","1,499",3.7 out of 5 stars
"boAt Rockerz 245 v2 Pro Wireless Neckband with Up to 30 hrs Playtime, ENxᵀᴹ Tech, ASAPᵀᴹ Charge, BEASTᵀᴹ Mode, Dual Pairing, Magnetic Buds,USB Type-C Interface&IPX5(Active Black)",999,3.9 out of 5 stars
"boAt Newly Launched Airdopes 141 ANC TWS Earbuds with 32 dB ANC, 42 HRS Playback, 50ms Low Latency Beast™ Mode, IWP™ Tech,Quad Mics with ENx™,ASAP™ Charge,USB Type-C Port & IPX5(Gunmetal Black)","1,799",3.8 out of 5 stars
"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls (Active Black, with Mic)","1,155",3.8 out of 5 stars
"boAt Airdopes 170 TWS Earbuds with 50H Playtime, Quad Mics ENx™ Tech, Low Latency Mode, 13mm Drivers, ASAP™ Charge, IPX4, IWP™, Touch Controls & BT v5.3(Classic Black)","1,499",3.8 out of 5 stars
"boAt Airdopes 141 Bluetooth TWS Earbuds with 42H Playtime,Low Latency Mode for Gaming, ENx Tech, IWP, IPX4 Water Resistance, Smooth Touch Controls(Bold Black)","1,299",3.8 out of 5 stars
"boAt Rockerz 330 Pro in-Ear Bluetooth Neckband with 60HRS Playtime, ASAP Charge, ENx Tech, Signature Sound, BT v5.2, Dual Pairing, IPX5, with Mic (Active Black)","1,799",3.9 out of 5 stars
"boAt Immortal 141 TWS Gaming Earbuds with Enx Tech,Up to 40 Hrs Playtime,Signature Sound,Beast Mode,Ipx4 Resistance,Iwp Tech,RBG Lights,&USB Type-C Port(Black Sabre)","1,281",3.7 out of 5 stars
"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","4,499",3.9 out of 5 stars
"boAt Rockerz 255 Neo in-Ear Bluetooth Neckband with Mic with ENx Tech, Smart Magnetic Buds, ASAP Charge, Upto 25 Hours Playback, 12MM Drivers, Beast Mode, Dual Pairing (Active Black)","1,299",4.1 out of 5 stars
"boAt Airdopes 190 True Wireless in Ear Earbuds with Beast Mode(50ms) for Gaming, 40H Playtime, Breathing LEDs, Signature Sound, Quad Mics Enx Tech, ASAP Charge & BT v5.3(Black Sabre)","1,499",3.7 out of 5 stars
"boAt Airdopes Max TWS Earbuds with 100 HRS Playtime, Quad Mics with ENx™ Tech, Beast™ Mode(50ms Low Latency), ASAP™ Charge, Bluetooth v5.3 and IWP™(Carbon Black)",,3.3 out of 5 stars
"boAt Rockerz 103 Pro Bluetooth in Ear Neckband with Beast Mode(40ms Low Latency), ENx Tech, ASAP Charge(Fast Charge), Upto 20HRS Playback, Signature Sound, BT v5.3 & IPX4(Active Black)","1,199",3.6 out of 5 stars
boAt Rockerz 400 Bluetooth On Ear Headphones With Mic With Upto 8 Hours Playback & Soft Padded Ear Cushions(Carbon Black),"1,499",4.1 out of 5 stars
"boAt Airdopes 190 True Wireless in Ear Earbuds with Beast Mode(50ms) for Gaming, 40H Playtime, Breathing LEDs, Signature Sound, Quad Mics ENx Tech, ASAP Charge & BT v5.3(White Sabre)","1,699",3.7 out of 5 stars
"boAt Airdopes 458 TWS Wireless Earbuds with Spatial Bionic Sound by THX,in Ear, Enx Tech, 30H Playtime, Beast Mode, Signature Sound, ASAP Charge,IPX5,Touch Control(Active Black)","1,583",3.3 out of 5 stars
